,date,mmm yy,week no,day_type
0,01-May-22,May 22,W 19,weekend
1,02-May-22,May 22,W 19,weekeday
2,03-May-22,May 22,W 19,weekeday
3,04-May-22,May 22,W 19,weekeday
4,05-May-22,May 22,W 19,weekeday
5,06-May-22,May 22,W 19,weekeday
6,07-May-22,May 22,W 19,weekend
7,08-May-22,May 22,W 20,weekend
8,09-May-22,May 22,W 20,weekeday
9,10-May-22,May 22,W 20,weekeday
10,11-May-22,May 22,W 20,weekeday
11,12-May-22,May 22,W 20,weekeday
12,13-May-22,May 22,W 20,weekeday
13,14-May-22,May 22,W 20,weekend
14,15-May-22,May 22,W 21,weekend
15,16-May-22,May 22,W 21,weekeday
16,17-May-22,May 22,W 21,weekeday
17,18-May-22,May 22,W 21,weekeday
18,19-May-22,May 22,W 21,weekeday
19,20-May-22,May 22,W 21,weekeday
20,21-May-22,May 22,W 21,weekend
21,22-May-22,May 22,W 22,weekend
22,23-May-22,May 22,W 22,weekeday
23,24-May-22,May 22,W 22,weekeday
24,25-May-22,May 22,W 22,weekeday
25,26-May-22,May 22,W 22,weekeday
26,27-May-22,May 22,W 22,weekeday
27,28-May-22,May 22,W 22,weekend
28,29-May-22,May 22,W 23,weekend
29,30-May-22,May 22,W 23,weekeday
30,31-May-22,May 22,W 23,weekeday
31,01-Jun-22,Jun 22,W 23,weekeday
32,02-Jun-22,Jun 22,W 23,weekeday
33,03-Jun-22,Jun 22,W 23,weekeday
34,04-Jun-22,Jun 22,W 23,weekend
35,05-Jun-22,Jun 22,W 24,weekend
36,06-Jun-22,Jun 22,W 24,weekeday
37,07-Jun-22,Jun 22,W 24,weekeday
38,08-Jun-22,Jun 22,W 24,weekeday
39,09-Jun-22,Jun 22,W 24,weekeday
40,10-Jun-22,Jun 22,W 24,weekeday
41,11-Jun-22,Jun 22,W 24,weekend
42,12-Jun-22,Jun 22,W 25,weekend
43,13-Jun-22,Jun 22,W 25,weekeday
44,14-Jun-22,Jun 22,W 25,weekeday
45,15-Jun-22,Jun 22,W 25,weekeday
46,16-Jun-22,Jun 22,W 25,weekeday
47,17-Jun-22,Jun 22,W 25,weekeday
48,18-Jun-22,Jun 22,W 25,weekend
49,19-Jun-22,Jun 22,W 26,weekend
50,20-Jun-22,Jun 22,W 26,weekeday
51,21-Jun-22,Jun 22,W 26,weekeday
52,22-Jun-22,Jun 22,W 26,weekeday
53,23-Jun-22,Jun 22,W 26,weekeday
54,24-Jun-22,Jun 22,W 26,weekeday
55,25-Jun-22,Jun 22,W 26,weekend
56,26-Jun-22,Jun 22,W 27,weekend
57,27-Jun-22,Jun 22,W 27,weekeday
58,28-Jun-22,Jun 22,W 27,weekeday
59,29-Jun-22,Jun 22,W 27,weekeday
60,30-Jun-22,Jun 22,W 27,weekeday
61,01-Jul-22,Jul 22,W 27,weekeday
62,02-Jul-22,Jul 22,W 27,weekend
63,03-Jul-22,Jul 22,W 28,weekend
64,04-Jul-22,Jul 22,W 28,weekeday
65,05-Jul-22,Jul 22,W 28,weekeday
66,06-Jul-22,Jul 22,W 28,weekeday
67,07-Jul-22,Jul 22,W 28,weekeday
68,08-Jul-22,Jul 22,W 28,weekeday
69,09-Jul-22,Jul 22,W 28,weekend
70,10-Jul-22,Jul 22,W 29,weekend
71,11-Jul-22,Jul 22,W 29,weekeday
72,12-Jul-22,Jul 22,W 29,weekeday
73,13-Jul-22,Jul 22,W 29,weekeday
74,14-Jul-22,Jul 22,W 29,weekeday
75,15-Jul-22,Jul 22,W 29,weekeday
76,16-Jul-22,Jul 22,W 29,weekend
77,17-Jul-22,Jul 22,W 30,weekend
78,18-Jul-22,Jul 22,W 30,weekeday
79,19-Jul-22,Jul 22,W 30,weekeday
80,20-Jul-22,Jul 22,W 30,weekeday
81,21-Jul-22,Jul 22,W 30,weekeday
82,22-Jul-22,Jul 22,W 30,weekeday
83,23-Jul-22,Jul 22,W 30,weekend
84,24-Jul-22,Jul 22,W 31,weekend
85,25-Jul-22,Jul 22,W 31,weekeday
86,26-Jul-22,Jul 22,W 31,weekeday
87,27-Jul-22,Jul 22,W 31,weekeday
88,28-Jul-22,Jul 22,W 31,weekeday
89,29-Jul-22,Jul 22,W 31,weekeday
90,30-Jul-22,Jul 22,W 31,weekend
91,31-Jul-22,Jul 22,W 32,weekend
